InteractionID,GhiChu,UserID,ProductID,InteractionType,Rating,InteractionTime,SoLanXem,ThoiGianXem
83,,45,1,view,1,2025-05-13 00:40:16,6,36
84,,98,124,wishlist,3,2025-05-13 00:44:38,1,0
85,,86,465,view,,2025-05-13 00:45:40,1,186
86,,88,499,view,,2025-05-13 00:45:35,6,105
87,,91,244,view,,2025-05-13 00:45:57,7,268
88,Suffer key technology child.,52,224,view,5,2025-05-13 00:41:49,9,292
89,,26,116,view,,2025-05-13 00:44:36,1,27
90,,1,25,cart,5,2025-05-13 00:43:34,1,0
91,,96,521,view,,2025-05-13 00:40:47,6,11
92,,28,131,view,,2025-05-13 00:42:17,5,274
93,,16,362,view,,2025-05-13 00:40:07,3,69
94,,67,121,view,,2025-05-13 00:43:52,10,195
95,,49,484,wishlist,,2025-05-13 00:42:07,1,0
96,,12,495,view,,2025-05-13 00:42:10,2,86
97,Positive than three third line computer.,18,29,cart,,2025-05-13 00:45:23,1,0
98,,34,441,view,,2025-05-13 00:43:18,10,68
99,See travel set them eight.,85,273,view,4,2025-05-13 00:42:09,5,199
100,,19,125,view,4,2025-05-13 00:42:25,6,56
101,,15,87,view,5,2025-05-13 00:42:32,6,169
102,,86,186,view,2,2025-05-13 00:45:14,3,223
103,Five public activity.,61,229,wishlist,,2025-05-13 00:43:04,1,0
104,,44,530,view,4,2025-05-13 00:45:56,7,167
105,,90,90,view,,2025-05-13 00:43:16,9,298
106,,36,521,view,2,2025-05-13 00:40:19,5,181
107,,15,499,view,,2025-05-13 00:42:59,8,289
108,,90,437,view,1,2025-05-13 00:43:12,8,88
109,,8,141,view,2,2025-05-13 00:45:07,7,263
110,,1,480,view,,2025-05-13 00:41:40,4,220
111,,32,300,cart,,2025-05-13 00:44:10,1,0
112,Far risk apply ago measure matter.,58,474,cart,5,2025-05-13 00:41:15,1,0
113,,50,214,view,,2025-05-13 00:42:55,9,64
114,,68,449,view,,2025-05-13 00:40:53,8,219
115,,9,187,cart,4,2025-05-13 00:43:32,1,0
116,,29,503,view,,2025-05-13 00:43:00,5,237
117,,96,404,view,,2025-05-13 00:42:11,6,299
118,Red expect movie worry.,8,85,cart,,2025-05-13 00:42:55,1,0
119,Wonder add car power run.,35,397,view,5,2025-05-13 00:45:49,7,138
120,,79,512,view,,2025-05-13 00:45:08,6,249
121,,61,62,wishlist,3,2025-05-13 00:43:40,1,0
122,Store letter technology fear build nothing cup.,50,518,view,,2025-05-13 00:42:57,6,43
123,,7,339,cart,,2025-05-13 00:41:19,1,0
124,,17,394,view,,2025-05-13 00:43:24,9,212
125,Each fear technology season.,45,118,view,,2025-05-13 00:45:18,2,177
126,Act position nice program assume crime month party.,76,15,view,,2025-05-13 00:45:00,10,34
127,,2,461,cart,,2025-05-13 00:44:46,1,0
128,,41,226,wishlist,,2025-05-13 00:43:39,1,0
129,,61,224,cart,3,2025-05-13 00:43:49,1,0
130,,77,345,view,,2025-05-13 00:44:55,2,256
131,,90,141,view,,2025-05-13 00:45:26,8,203
132,Order Republican by cup individual environmental need TV.,43,278,view,,2025-05-13 00:43:31,8,44
133,,48,181,view,4,2025-05-13 00:41:14,4,13
134,Pick with child center game personal bring direction.,39,63,cart,,2025-05-13 00:44:49,1,0
135,,68,136,view,5,2025-05-13 00:40:38,1,214
136,,86,342,view,4,2025-05-13 00:45:01,9,121
137,,11,413,view,,2025-05-13 00:42:01,1,194
138,School another PM watch ability boy.,5,212,view,,2025-05-13 00:43:59,4,251
139,Something imagine price citizen identify floor of at.,37,231,view,,2025-05-13 00:45:06,4,281
140,,6,160,wishlist,,2025-05-13 00:42:30,1,0
141,,44,405,view,,2025-05-13 00:43:12,10,256
142,,50,446,view,4,2025-05-13 00:43:38,10,142
143,,17,253,cart,2,2025-05-13 00:44:48,1,0
144,,89,496,view,,2025-05-13 00:40:31,2,45
145,,13,57,cart,,2025-05-13 00:40:50,1,0
146,Country rich hit about plant who movement school.,73,208,view,1,2025-05-13 00:41:04,1,142
147,Again add create at.,72,388,wishlist,,2025-05-13 00:45:14,1,0
148,,5,25,cart,,2025-05-13 00:42:51,1,0
149,,25,357,wishlist,,2025-05-13 00:40:29,1,0
150,,44,264,cart,,2025-05-13 00:41:18,1,0
151,,1,181,view,,2025-05-13 00:41:42,3,245
152,,15,3,view,3,2025-05-13 00:40:19,6,35
153,,28,318,view,,2025-05-13 00:43:29,10,14
154,,40,499,view,,2025-05-13 00:40:30,7,72
155,,72,36,view,3,2025-05-13 00:41:38,8,167
156,,75,255,wishlist,,2025-05-13 00:39:59,1,0
157,Also site high work talk more just.,22,303,view,,2025-05-13 00:42:56,4,20
158,,50,413,view,,2025-05-13 00:45:03,5,60
159,,52,287,view,,2025-05-13 00:45:53,8,213
160,,50,210,wishlist,,2025-05-13 00:42:30,1,0
161,Section whatever police environment better.,75,165,view,2,2025-05-13 00:41:29,10,143
162,,31,304,view,,2025-05-13 00:45:32,4,243
163,,99,270,view,,2025-05-13 00:42:31,8,25
164,,6,322,view,,2025-05-13 00:44:36,1,31
165,,21,128,cart,,2025-05-13 00:40:32,1,0
166,,78,359,wishlist,,2025-05-13 00:44:34,1,0
167,,74,123,view,,2025-05-13 00:41:53,6,151
168,,46,520,view,,2025-05-13 00:41:27,3,124
169,,3,312,view,4,2025-05-13 00:40:04,3,183
170,,28,341,view,,2025-05-13 00:43:28,4,45
171,,75,247,view,,2025-05-13 00:42:30,4,206
172,,29,22,view,,2025-05-13 00:45:40,2,240
173,,38,33,view,1,2025-05-13 00:45:11,3,142
174,,88,106,cart,4,2025-05-13 00:40:32,1,0
175,Book along Democrat section way institution read safe.,24,286,view,,2025-05-13 00:43:50,10,168
176,,43,85,view,,2025-05-13 00:44:36,9,169
177,,30,381,view,,2025-05-13 00:40:49,7,42
178,Plan hold brother tend follow include red life.,43,406,view,,2025-05-13 00:44:35,5,92
179,,83,217,view,,2025-05-13 00:42:07,8,223
180,,62,286,view,,2025-05-13 00:43:33,4,273
181,,14,251,view,,2025-05-13 00:43:18,7,183
182,,17,176,view,1,2025-05-13 00:42:48,7,87
183,,23,65,view,4,2025-05-13 00:41:21,9,145
184,,86,112,view,,2025-05-13 00:44:17,10,15
185,Without natural feeling whole this all above.,63,483,view,,2025-05-13 00:45:57,2,16
186,,51,122,view,,2025-05-13 00:41:01,1,262
187,,42,319,view,,2025-05-13 00:41:35,6,278
188,,1,415,wishlist,1,2025-05-13 00:45:16,1,0
189,,15,181,view,,2025-05-13 00:41:58,9,254
190,,93,401,cart,4,2025-05-13 00:45:29,1,0
191,,52,526,view,,2025-05-13 00:44:14,10,227
192,,79,98,view,,2025-05-13 00:42:27,2,109
193,Respond front catch modern however experience benefit.,84,511,cart,,2025-05-13 00:42:39,1,0
194,Pressure news wife involve life.,89,212,cart,,2025-05-13 00:40:18,1,0
195,High air show feeling last.,28,87,view,,2025-05-13 00:43:21,1,187
196,,27,352,view,,2025-05-13 00:43:53,6,107
197,,41,49,cart,,2025-05-13 00:43:37,1,0
198,Establish type drive job believe.,5,376,view,,2025-05-13 00:43:30,10,23
199,,37,166,view,,2025-05-13 00:44:20,10,182
200,,71,113,view,,2025-05-13 00:40:15,9,256
201,,63,427,view,,2025-05-13 00:45:08,1,265
202,Also cup bill film rich.,63,430,view,3,2025-05-13 00:44:15,3,27
203,,50,352,view,,2025-05-13 00:43:48,9,296
204,,29,104,view,,2025-05-13 00:41:55,9,266
205,,59,3,view,,2025-05-13 00:39:59,10,247
206,,47,280,wishlist,,2025-05-13 00:45:39,1,0
207,,56,181,view,,2025-05-13 00:40:00,3,205
208,,49,340,cart,2,2025-05-13 00:41:43,1,0
209,Or theory political ever stuff traditional most.,40,214,view,,2025-05-13 00:43:08,9,84
210,,52,29,cart,,2025-05-13 00:40:10,1,0
211,,98,58,view,2,2025-05-13 00:43:32,10,127
212,,33,334,view,,2025-05-13 00:41:06,10,86
213,,60,277,view,,2025-05-13 00:41:34,4,249
214,,1,215,view,,2025-05-13 00:42:51,10,241
215,,29,511,wishlist,3,2025-05-13 00:42:38,1,0
216,,99,311,view,,2025-05-13 00:40:01,7,164
217,,48,447,view,3,2025-05-13 00:40:48,4,155
218,,34,487,view,,2025-05-13 00:43:55,8,17
219,,89,230,view,2,2025-05-13 00:41:25,10,46
220,,69,401,view,5,2025-05-13 00:43:07,5,268
221,,25,363,cart,1,2025-05-13 00:41:00,1,0
222,,44,4,view,4,2025-05-13 00:43:39,2,252
223,A performance top talk.,25,62,view,1,2025-05-13 00:40:17,5,36
224,,86,448,cart,,2025-05-13 00:42:06,1,0
225,,64,109,view,1,2025-05-13 00:42:59,6,93
226,Accept out these young push thing.,5,329,view,,2025-05-13 00:42:10,9,63
227,Free deal thus teach.,57,269,view,,2025-05-13 00:43:16,7,260
228,,82,236,view,1,2025-05-13 00:40:28,9,26
229,,88,298,view,,2025-05-13 00:40:45,2,45
230,,18,271,cart,5,2025-05-13 00:41:01,1,0
231,,16,78,view,,2025-05-13 00:42:22,10,11
232,,32,119,view,,2025-05-13 00:42:00,9,56
233,,91,114,view,5,2025-05-13 00:40:38,9,291
234,,59,315,view,,2025-05-13 00:44:18,1,130
235,,33,519,wishlist,2,2025-05-13 00:41:46,1,0
236,Bank church green phone.,62,147,view,,2025-05-13 00:44:11,7,142
237,Difference good believe citizen or TV show.,43,177,view,,2025-05-13 00:42:04,4,175
238,,3,304,view,,2025-05-13 00:45:54,3,239
239,,98,522,view,,2025-05-13 00:44:29,9,167
240,,67,300,view,,2025-05-13 00:44:18,2,143
241,Garden color me experience never hope.,62,194,wishlist,,2025-05-13 00:42:53,1,0
242,Change power out too.,49,47,view,,2025-05-13 00:40:24,1,191
243,Any everybody yourself network.,74,482,view,,2025-05-13 00:44:56,8,131
244,,52,460,cart,,2025-05-13 00:42:43,1,0
245,Rich floor little conference stand kind meet.,8,292,view,,2025-05-13 00:44:46,2,39
246,,50,193,view,,2025-05-13 00:40:55,1,248
247,,23,386,cart,,2025-05-13 00:45:25,1,0
248,Already upon artist up.,65,284,view,,2025-05-13 00:40:01,9,165
249,,5,516,view,,2025-05-13 00:43:49,10,264
250,,36,391,cart,5,2025-05-13 00:40:23,1,0
251,Fire participant within here debate skin throughout short.,75,164,view,,2025-05-13 00:40:35,3,93
252,,31,284,view,,2025-05-13 00:44:38,2,257
253,,25,332,view,,2025-05-13 00:44:55,6,222
254,,51,119,view,,2025-05-13 00:42:18,3,38
255,,22,75,view,,2025-05-13 00:43:45,6,21
256,Knowledge real member project science as page position.,83,510,cart,3,2025-05-13 00:41:00,1,0
257,,100,484,wishlist,,2025-05-13 00:44:26,1,0
258,,74,450,wishlist,,2025-05-13 00:44:31,1,0
259,,79,210,view,1,2025-05-13 00:41:52,10,200
260,,74,337,view,2,2025-05-13 00:43:32,1,221
261,,13,482,view,,2025-05-13 00:45:26,9,232
262,,10,148,view,,2025-05-13 00:40:20,5,174
263,,47,523,cart,,2025-05-13 00:45:04,1,0
264,,56,471,cart,,2025-05-13 00:41:26,1,0
265,,51,73,view,4,2025-05-13 00:41:15,6,100
266,,57,488,view,4,2025-05-13 00:41:52,6,147
267,State society deep do.,30,198,wishlist,,2025-05-13 00:45:35,1,0
268,,76,54,cart,,2025-05-13 00:44:26,1,0
269,,69,127,view,,2025-05-13 00:44:35,4,129
270,,57,327,cart,1,2025-05-13 00:44:51,1,0
271,,15,255,view,,2025-05-13 00:41:12,10,130
272,,5,460,cart,,2025-05-13 00:44:09,1,0
273,,58,258,view,1,2025-05-13 00:43:28,10,286
274,,18,32,cart,,2025-05-13 00:42:07,1,0
275,,54,37,view,,2025-05-13 00:43:04,5,183
276,Eight card democratic modern.,42,216,view,1,2025-05-13 00:43:31,9,73
277,,67,239,view,5,2025-05-13 00:45:11,1,97
278,Meeting painting you hundred attack reason agent magazine.,87,465,view,4,2025-05-13 00:41:57,4,229
279,,82,385,cart,,2025-05-13 00:42:43,1,0
280,,4,520,view,3,2025-05-13 00:41:48,10,230
281,,59,196,view,,2025-05-13 00:43:52,2,23
282,,100,209,view,4,2025-05-13 00:40:08,7,294
283,,30,64,cart,,2025-05-13 00:45:06,1,0
284,,61,16,view,,2025-05-13 00:41:40,8,151
285,,11,377,view,,2025-05-13 00:40:00,10,63
286,,76,48,cart,,2025-05-13 00:41:37,1,0
287,,46,143,view,3,2025-05-13 00:44:03,1,15
288,,12,406,view,5,2025-05-13 00:44:19,9,187
289,Glass time realize address.,23,106,view,,2025-05-13 00:40:31,4,131
290,,99,48,view,,2025-05-13 00:42:26,8,198
291,Person wonder finally reach many power become deep.,9,166,cart,,2025-05-13 00:44:59,1,0
292,,22,326,view,,2025-05-13 00:43:05,9,182
293,Stock country sense eight.,51,372,view,,2025-05-13 00:40:57,2,225
294,,99,210,view,4,2025-05-13 00:45:04,9,40
295,,46,93,view,3,2025-05-13 00:41:48,10,180
296,,2,63,view,,2025-05-13 00:43:29,8,288
297,Authority involve Congress business between.,1,534,view,1,2025-05-13 00:45:13,4,21
298,,38,32,view,4,2025-05-13 00:42:50,4,44
299,,49,16,view,,2025-05-13 00:45:51,10,59
